最高気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),平均雲量(10分比),平均湿度(％),子供割合,ice1,ice2,ice3,ice4,ice5,ice6,ice7,ice8,売り上げ
16.7,12.6,0.0,7.7,5.5,5.5,61.0,11.4,250,150,150,300,300,350,250,350,0.5955326509621945
25.900000000000002,22.599999999999998,21.14597132295255,2.0,2.3,10.0,75.0,12.6,450,300,100,150,200,350,350,350,0.44641586554590684
26.7,20.0,21.75470734052112,13.5,4.7,3.3,45.0,10.9,100,200,400,450,450,150,400,200,0.45303182441582446
31.3,27.099999999999998,0.0,0.9,2.7,9.8,85.0,10.8,350,200,250,450,450,300,150,150,0.6442353972371553
26.2,19.7,0.0,3.3,2.4,10.0,85.0,11.3,150,450,350,150,150,300,250,200,0.6159198470772944
22.400000000000002,15.2,0.0,11.5,3.1,3.5,44.0,12.6,100,400,150,250,250,200,450,100,0.6001764011884118
37.0,31.4,0.0,9.4,3.4,7.5,71.0,10.8,100,400,250,450,400,400,450,300,0.6813853990468928
24.900000000000002,23.099999999999998,0.0,0.2,2.0,10.0,93.0,10.8,450,150,200,150,200,450,350,150,0.6190911886951989
34.5,29.0,0.11080070863841747,10.5,3.0,5.8,66.0,11.0,400,300,250,400,200,150,300,450,0.6492066638924047
30.3,24.599999999999998,61.70445455784176,13.0,3.7,2.0,56.0,11.0,100,450,100,350,300,100,450,150,0.44859429084515184
31.0,26.599999999999998,0.0,4.4,2.6,9.3,79.0,11.4,100,250,150,300,450,300,300,350,0.6386855494058226
25.400000000000002,20.2,30.30576460413684,3.8,2.3,8.8,81.0,11.3,450,350,450,300,400,400,250,450,0.4738478903118183
28.5,23.2,0.0,9.9,3.9,9.3,65.0,11.4,150,400,150,100,350,200,450,250,0.6258869207335654
16.6,14.0,0.0,0.0,1.6,10.0,86.0,11.3,300,250,200,200,250,250,300,250,0.5904358519334196
35.3,30.5,0.0,10.0,2.4,10.0,68.0,10.8,350,200,400,200,450,350,250,150,0.6583931723170857
10.700000000000001,6.5,0.0,2.9,2.3,6.5,74.0,11.4,300,250,100,250,300,250,350,300,0.5802422538758697
20.5,17.3,0.0,0.7,1.9,10.0,86.0,11.0,300,300,400,100,250,400,350,400,0.6255471341316472
13.5,9.299999999999999,0.0,5.3,2.9,5.5,81.0,10.9,300,100,250,300,250,300,450,100,0.5869247237135969
21.1,16.7,24.185800838170096,1.4,3.4,7.3,66.0,11.3,100,200,350,400,250,100,250,300,0.4271327654296156
23.1,22.099999999999998,26.988009542157506,0.0,1.4,10.0,96.0,11.3,400,200,450,250,250,250,150,250,0.4402033184990202
19.3,16.0,7.661231262748841,0.0,5.0,9.8,91.0,11.3,450,450,400,250,350,350,250,100,0.44640801418202736
12.4,6.6000000000000005,0.0,9.6,2.3,0.8,69.0,11.3,250,350,450,250,200,450,450,250,0.6130882920613083
24.0,17.5,5.000621829829489,11.6,2.5,0.5,61.0,11.4,100,350,250,250,450,350,300,400,0.4533046388443396
10.700000000000001,6.0,0.0,5.2,2.0,4.8,73.0,10.9,200,250,250,350,150,450,350,250,0.5883971323219096
28.1,22.8,0.0,8.6,2.8,5.8,49.0,10.8,350,300,450,400,350,250,100,250,0.643895610635237
18.400000000000002,11.799999999999999,6.57996584550557,10.6,3.8,2.8,51.0,10.8,100,200,200,450,400,150,400,350,0.4345921722621576
27.5,22.7,0.0,6.6,3.1,8.3,61.0,10.9,100,450,150,250,300,200,300,100,0.6144474384689816
8.8,5.2,0.0,0.5,2.4,8.8,77.0,11.3,350,250,350,350,450,450,100,300,0.6001764011884118
22.2,16.2,0.0,12.5,4.4,4.8,49.0,10.8,200,200,200,150,300,200,250,350,0.6006294499909696
24.8,19.4,0.0,3.9,3.2,10.0,59.0,12.6,150,450,400,450,150,100,450,200,0.6301908843578643
32.9,29.2,0.0,3.1,2.6,9.3,77.0,11.9,400,400,450,250,400,300,400,350,0.6816119234481717
26.5,24.099999999999998,0.0,2.1,2.1,9.0,76.0,10.9,250,100,200,250,250,100,250,200,0.5993835657839357
12.8,7.5,12.454618298133669,3.6,2.2,6.8,80.0,10.8,350,450,400,450,150,250,400,250,0.43770341111582967
24.1,19.0,8.310441047674914,7.2,4.1,5.0,64.0,11.0,450,100,400,300,150,350,250,150,0.44100872150659587
30.3,26.5,12.388377740289522,3.6,2.5,9.8,56.0,12.6,200,450,250,100,350,100,150,200,0.43746144855547864
8.3,4.2,0.0,3.9,2.2,5.0,73.0,12.6,350,450,350,350,250,250,250,150,0.5889634433251069
30.5,25.599999999999998,0.0,9.0,2.3,3.8,72.0,10.8,150,150,100,250,200,250,250,450,0.6205635973035116
20.3,15.399999999999999,45.084070308532,5.7,1.6,7.3,67.0,10.9,150,250,350,450,200,200,450,250,0.43875103482301003
32.199999999999996,28.5,0.0,3.4,1.9,9.8,77.0,12.6,200,100,200,350,200,450,150,450,0.6360805187911154
15.8,11.0,53.33263306068499,3.3,1.9,10.0,51.0,11.3,300,150,300,450,300,300,100,200,0.4226952319672213
